time_step,step_idx,x,y,cur_x,cur_y
9,1,0.0208764,2.14304e-05,0.000876415,3.96494e-07
9,2,0.0408701,0.000522412,0.000876415,3.96494e-07
9,3,0.0608461,0.00150305,0.000876415,3.96494e-07
9,4,0.0807927,0.00296279,0.000876415,3.96494e-07
9,5,0.100699,0.00490078,0.000876415,3.96494e-07
9,6,0.120552,0.0073159,0.000876415,3.96494e-07
9,7,0.140342,0.0102068,0.000876415,3.96494e-07
9,8,0.160057,0.0135717,0.000876415,3.96494e-07
9,9,0.179686,0.0174088,0.000876415,3.96494e-07
9,10,0.199216,0.0217159,0.000876415,3.96494e-07
10,0,0.00106765,5.97616e-07,0.00106765,5.97616e-07
10,1,0.0210676,2.62212e-05,0.00106765,5.97616e-07
10,2,0.0410612,0.000531791,0.00106765,5.97616e-07
10,3,0.061037,0.00151702,0.00106765,5.97616e-07
10,4,0.0809833,0.00298133,0.00106765,5.97616e-07
10,5,0.100889,0.00492388,0.00106765,5.97616e-07
10,6,0.120742,0.00734357,0.00106765,5.97616e-07
10,7,0.140531,0.010239,0.00106765,5.97616e-07
10,8,0.160245,0.0136085,0.00106765,5.97616e-07
10,9,0.179873,0.0174501,0.00106765,5.97616e-07
10,10,0.199403,0.0217616,0.00106765,5.97616e-07
11,0,0.00127697,8.65797e-07,0.00127697,8.65797e-07
11,1,0.021277,3.15132e-05,0.00127697,8.65797e-07
11,2,0.0412704,0.000542105,0.00127697,8.65797e-07
11,3,0.0612459,0.00153235,0.00127697,8.65797e-07
11,4,0.0811919,0.00300167,0.00127697,8.65797e-07
11,5,0.101097,0.00494923,0.00127697,8.65797e-07
11,6,0.120949,0.00737389,0.00127697,8.65797e-07
11,7,0.140738,0.0102743,0.00127697,8.65797e-07
11,8,0.160451,0.0136487,0.00127697,8.65797e-07
11,9,0.180078,0.0174952,0.00127697,8.65797e-07
11,10,0.199606,0.0218117,0.00127697,8.65797e-07
12,0,0.0015042,1.214e-06,0.0015042,1.214e-06
12,1,0.0215042,3.73149e-05,0.0015042,1.214e-06
12,2,0.0414975,0.000553358,0.0015042,1.214e-06
12,3,0.0614727,0.00154905,0.0015042,1.214e-06
12,4,0.0814183,0.00302381,0.0015042,1.214e-06
12,5,0.101323,0.00497679,0.0015042,1.214e-06
12,6,0.121175,0.00740687,0.0015042,1.214e-06
12,7,0.140962,0.0103127,0.0015042,1.214e-06
12,8,0.160675,0.0136925,0.0015042,1.214e-06
12,9,0.1803,0.0175443,0.0015042,1.214e-06
12,10,0.199828,0.0218661,0.0015042,1.214e-06
13,0,0.00174916,1.65616e-06,0.00174916,1.65616e-06
13,1,0.0217491,4.3636e-05,0.00174916,1.65616e-06
13,2,0.0417423,0.000565557,0.00174916,1.65616e-06
13,3,0.0617172,0.00156712,0.00174916,1.65616e-06
13,4,0.0816623,0.00304774,0.00174916,1.65616e-06
13,5,0.101566,0.00500658,0.00174916,1.65616e-06
13,6,0.121417,0.00744249,0.00174916,1.65616e-06
13,7,0.141204,0.0103541,0.00174916,1.65616e-06
13,8,0.160916,0.0137397,0.00174916,1.65616e-06
